Название товара;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика оборота, %;Заказано, штуки;Минимальная цена, ₽;Средняя цена, ₽;Упущенные продажи, ₽;Доступность, %;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Сроки доставки, дни;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Просмотры в поиске и каталоге;Просмотры карточки;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
Пальто COCO.ONE Осень;https://www.ozon.ru/product/1663292602;COCO.ONE;Одежда;Пальто;Да;701062;1447;58;10403;12087;0;100;25039;2;FBO;3;9.3;18.7;27.1;26880;1604;0;9.97;0.7;35.7;2024-08-19
Пуховик Milliant;https://www.ozon.ru/product/1630854889;Milliant;Одежда;Пуховик;Да;701041;201;32;19866;21908;152400;82;30480;1;FBS;6;3.8;16.3;24.5;12813;1803;0.04;8.04;0;26.6;2024-07-17
Пуховик MONOMIR Зима;https://www.ozon.ru/product/1659326511;MONOMIR;Одежда;Пуховик;Да;701010;1229;62;10379;11307;0;100;24263;2;FBO;4;35;20.9;29.7;61246;5775;0.01;6.44;0;47.5;2024-08-15
Пальто MONAMO life Одежда для женщин;https://www.ozon.ru/product/1409473939;MONAMO life;Одежда;Пальто;Да;700986;21;88;5512;7966;0;100;24484;3;FBO;3;36;23.5;32.6;16431;1958;0.02;13.58;0;35.3;2024-01-30
Шуба искусственная BENGALA Для женщин;https://www.ozon.ru/product/1646205585;BENGALA;Одежда;Шуба искусственная;Да;700968;4142;41;14960;17097;84116;89;28039;2;FBO;5;34.2;18.1;26.5;7560;981;0;13.86;0.6;47.3;2024-08-02
Куртка Dresstells Демисезон;https://www.ozon.ru/product/1646091820;Dresstells;Одежда;Куртка;Да;700746;88;144;4223.5;4866;0;100;24228;5;FBO;3;12.4;22.7;31.8;37358;3546;0.02;10.54;0.1;66.6;2024-08-02
Куртка Jan Steen;https://www.ozon.ru/product/1675024675;Jan Steen;Одежда;Куртка;Да;700519;66;84;4368;8340;25946;96;25946;3;FBO;5;9.6;20.7;29.3;36737;2962;0;8.6;0;53;2024-08-29
Пуховик LIBERTA;https://www.ozon.ru/product/1667776560;LIBERTA;Одежда;Пуховик;Да;700518;218;119;5070;5887;0;100;24627;4;FBO;4;25;23.9;33.2;59267;3926;0.01;9.57;0.9;46;2024-08-23
Водолазка;https://www.ozon.ru/product/1651744450;без бренда;Одежда;Водолазка;Да;700181;512;607;819.8;1154;367460;64;36746;32;FBO;5;2.8;25.3;36.4;159652;19134;0.01;11.28;2.2;72.6;2024-08-07
Дубленка искусственная 7TOUCH Базовая коллекция;https://www.ozon.ru/product/1620407991;7TOUCH;Одежда;Дубленка искусственная;Да;699883;249;123;5038;5690;0;100;24440;4;FBO;4;20.2;23.4;32.6;112676;12446;0.01;4.21;2.6;49.5;2024-07-04
Шуба искусственная Jan Steen;https://www.ozon.ru/product/1268714654;Jan Steen;Одежда;Шуба искусственная;Да;699776;166;65;10252;10766;0;100;24992;2;FBO;3;13;19.1;27.6;40921;3806;0.03;7.33;0;46;2023-10-31
Пальто Грация стиля Одежда для женщин;https://www.ozon.ru/product/1387404864;Грация стиля;Одежда;Пальто;Да;699573;52;115;4461;6083;0;100;24777;4;FBO;5;12;22;30.8;58931;5806;0.01;6.76;5;35.4;2024-01-15
Пуховик Nike M Nsw Sf Wr Pl-Fld Air Max Jkt;https://www.ozon.ru/product/1235466859;Nike;Одежда;Пуховик;Да;699447;267;29;22279;24119;0;100;22478;1;FBO;5;18.7;17.2;25.6;18888;1291;0.03;7.43;0;Нет данных;Нет данных
Костюм спортивный DIANIDA Комфорт и уют;https://www.ozon.ru/product/804954808;DIANIDA;Одежда;Костюм спортивный;Да;699372;-30;251;2007;2786;0;100;24799;9;FBO;3;3.1;22.4;31.8;280338;16488;0;5.62;0;59.1;2022-11-28
Костюм спортивный Salut clothes Из футера с начесом;https://www.ozon.ru/product/1685472933;Salut clothes;Одежда;Костюм спортивный;Да;699347;20136;194;1;3605;0;100;25146;7;FBO;4;3.2;21.8;30.8;57806;3820;0;11.91;0.1;54.7;2024-09-07
Худи ТЕЛОДВИЖЕНИЯ;https://www.ozon.ru/product/259221594;ТЕЛОДВИЖЕНИЯ;Одежда;Худи;Да;699307;-23;201;2618;3479;0;100;23674;7;FBO;4;9.8;23.2;32.5;40181;3499;0.09;15.09;0;55.4;2021-04-28
Пуховик AS trend;https://www.ozon.ru/product/1237452093;AS trend;Одежда;Пуховик;Да;698312;132;86;4208.5;8120;0;100;24031;3;FBO;5;41;23.7;32.9;136672;11227;0;4.4;3.3;41;2023-10-12
Шуба Кировская Меховая Фабрика;https://www.ozon.ru/product/1010161104;Кировская Меховая Фабрика;Одежда;Шуба;Да;698188;225;9;72449;77576;151780;82;30356;0;FBO,FBS;8;36;15.2;23.3;24663;1752;0.03;4.28;0.5;75;2023-06-01
Легинсы qika;https://www.ozon.ru/product/1625071195;qika;Одежда;Легинсы;Да;698018;32;836;1;835;0;100;24603;29;FBO;4;2.8;28;40.7;96015;11882;0.1;20.13;7.5;64.8;2024-07-10
Дубленка искусственная;https://www.ozon.ru/product/1680121766;без бренда;Одежда;Дубленка искусственная;Да;697920;334;110;5781;6345;510296;57;42525;7;FBO;3;8.6;21.5;30.3;86406;7232;0.01;7.01;4.3;43.8;2024-09-03
Парка MurLeMur Базовая коллекция;https://www.ozon.ru/product/1660526597;MurLeMur;Одежда;Парка;Да;697461;737;97;5507.3;7190;276759;71;34595;5;FBO;5;39.2;25;34.4;47213;5939;0.04;6.11;0.8;48.4;2024-08-16
Комбинезон-трансформер Ramelka;https://www.ozon.ru/product/723846159;Ramelka;Одежда;Комбинезон-трансформер;Да;697168;917;101;5982.9;6903;0;100;24468;4;FBO;3;32.5;24.3;33.6;45967;6366;0.02;5.95;0.1;69.6;2022-09-23
Куртка Miss Diva;https://www.ozon.ru/product/1673100064;Miss Diva;Одежда;Куртка;Да;697011;1513;111;5193;6279;0;100;24629;4;FBO;2;55;27.5;37.4;147493;10812;0.01;5.44;1.2;55.2;2024-08-28
Толстовка Outventure;https://www.ozon.ru/product/1608311056;Outventure;Одежда;Толстовка;Да;696926;38;491;227;1419;0;100;24269;17;FBO;4;5.9;26.3;37.3;104905;10171;0.02;9.85;1.9;58.1;2024-06-19
Куртка ТВОЕ;https://www.ozon.ru/product/445665147;ТВОЕ;Одежда;Куртка;Да;696631;413;195;2187.5;3572;0;100;25062;7;FBO;2;24.4;26.5;36.5;109115;8520;0.02;6.39;3.8;56.8;2021-12-27
Куртка Outventure;https://www.ozon.ru/product/1615771963;Outventure;Одежда;Куртка;Да;696503;159;101;5432;6896;0;100;24253;3;FBO;4;16.3;22.3;31.2;38715;5578;0.01;7.27;0.1;51.5;2024-06-28
Пальто MARCO BAY;https://www.ozon.ru/product/1628673720;MARCO BAY;Одежда;Пальто;Да;696170;24;54;11413;12892;1442322;32;75912;6;FBO;5;16.3;18.6;27.1;8771;3289;0.02;6.59;0;37;2024-07-15
Куртка HangerCute Базовая;https://www.ozon.ru/product/1705932477;HangerCute;Одежда;Куртка;Да;696082;Нет данных;100;6491;6961;803377;46;53558;8;FBO;4;32.3;24.2;33.4;154173;12767;0;4.15;4.8;40.6;2024-09-26
Дубленка искусственная 7TOUCH Базовая коллекция;https://www.ozon.ru/product/1637248558;7TOUCH;Одежда;Дубленка искусственная;Да;696047;471;131;4591.8;5313;0;100;24192;5;FBO;3;20.2;23.7;32.9;57847;8545;0.03;5.39;1.3;39.5;2024-07-24
Дубленка искусственная ТВОЕ;https://www.ozon.ru/product/1666409208;ТВОЕ;Одежда;Дубленка искусственная;Да;696011;277;127;3690;5480;0;100;24462;4;FBO;4;10.6;22.1;31;62895;7057;0.06;5.24;0;50.8;2024-08-22
Пуховик Zarina и Ozon эксклюзивная коллекция;https://www.ozon.ru/product/1681466930;Zarina;Одежда;Пуховик;Да;695931;Нет данных;109;4965;6385;189894;79;31649;5;FBO;3;18;22.5;31.4;115518;14724;0.02;3.97;0;67.6;2024-09-04
Рубашка VLV Клетка;https://www.ozon.ru/product/1600388152;VLV;Одежда;Рубашка;Да;695720;-47;458;1;1519;0;100;24138;16;FBO;3;1.3;23.6;34;196899;15022;0.06;8.52;3.3;60.3;2024-06-10
Куртка V A;https://www.ozon.ru/product/1116044478;V A;Одежда;Куртка;Да;695470;76;147;3784;4731;0;100;24526;5;FBO;3;25.9;25.1;34.7;36252;4971;0.02;6.9;3.3;30.9;2023-08-02
Парка Alpha Industries;https://www.ozon.ru/product/297589945;Alpha Industries;Одежда;Парка;Да;695195;77;22;28557;31600;53477;93;26738;1;FBO,FBS;5;36.1;16.5;24.8;9094;1001;0.08;5.69;0;50;2021-08-01
Куртка Befree;https://www.ozon.ru/product/1178983726;Befree;Одежда;Куртка;Да;694982;692;179;2940;3883;0;100;24411;6;FBO;3;31.9;26.6;36.5;57469;3264;0.01;10.81;0;46.1;2023-09-07
Куртка 57store;https://www.ozon.ru/product/1349078191;57store;Одежда;Куртка;Да;694895;415;142;3666;4894;447998;61;40727;8;FBO;5;19.2;23.8;33;39853;2568;0.02;13.94;0;41.3;2023-12-19
Парка Alex Fil;https://www.ozon.ru/product/1667764418;Alex Fil;Одежда;Парка;Да;694802;204;47;13258;14783;231641;75;33092;2;FBO;6;40.6;19.4;28.1;38871;2852;0.02;6.69;2.3;39.1;2024-08-23
Куртка Demix;https://www.ozon.ru/product/840836980;Demix;Одежда;Куртка;Да;694756;149;214;2239.5;3247;0;100;24490;8;FBO;4;8;23.1;32.6;115178;7283;0.02;8.14;0;48.5;2023-01-19
Куртка KiVi Kids Зимняя;https://www.ozon.ru/product/1653382865;KiVi Kids;Одежда;Куртка;Да;694692;207;104;5241;6680;0;100;24812;4;FBO,FBS;6;9.6;21.6;30.3;69276;4782;0.03;8.67;5.4;54.6;2024-08-09
Пальто KR;https://www.ozon.ru/product/1665375299;KR;Одежда;Пальто;Да;694631;167;52;11534;13358;51252;93;25626;2;FBO;3;13.5;18.1;26.5;62304;5340;0;4.1;8.1;38.7;2024-08-21
Платье Sasheline;https://www.ozon.ru/product/1670557579;Sasheline;Одежда;Платье;Да;694541;-36;202;2326.5;3438;0;100;24072;7;FBO;5;3.1;21.8;30.9;169182;13511;0.01;4.73;5.3;30.5;2024-08-26
Куртка Zarina;https://www.ozon.ru/product/1698151002;Zarina;Одежда;Куртка;Да;694434;3148;143;3809.5;4856;0;100;24231;5;FBO;4;25.5;24.4;33.7;56841;3418;0.05;10.32;0;32.8;2024-09-19
Куртка Vizani;https://www.ozon.ru/product/1418516884;Vizani;Одежда;Куртка;Да;694399;385;238;2304;2918;369001;61;33546;11;FBO;5;9.6;23.9;33.6;127592;21949;0.02;4.14;0;66.2;2024-02-08
Куртка one2mi Зимняя;https://www.ozon.ru/product/1670837299;one2mi;Одежда;Куртка;Да;694264;220;88;6731;7889;52846;93;26423;3;FBO;5;19.1;21.8;30.6;83504;4358;0.02;8.19;3;58.3;2024-08-26
Свитер OLRUMI;https://www.ozon.ru/product/837364239;OLRUMI;Одежда;Свитер;Да;694208;64;225;2485;3085;0;100;24131;8;FBO;4;7.2;22.9;32.3;170549;23640;0.01;3.86;10.3;54;2023-01-15
Куртка V A;https://www.ozon.ru/product/1679915400;V A;Одежда;Куртка;Да;694137;950;115;5069;6036;0;100;24441;4;FBO;4;15.7;22.6;31.6;74666;2307;0.01;9.83;0;48.1;2024-09-03
Свитер Dencop;https://www.ozon.ru/product/1237667510;Dencop;Одежда;Свитер;Да;694121;1388;393;718;1766;387384;64;38738;22;FBO;5;7.9;25.5;36;93201;20033;0.1;7.39;2;54.5;2023-10-12
Пальто EVKA Brand;https://www.ozon.ru/product/1657306712;EVKA Brand;Одежда;Пальто;Да;694007;135;122;4700;5689;362909;64;36291;6;FBO;4;12;22.1;31;66531;5775;0.03;7.27;2.2;40.7;2024-08-13
Джемпер Befree;https://www.ozon.ru/product/1659516953;Befree;Одежда;Джемпер;Да;693853;116;290;1654.5;2393;51854;93;25927;11;FBO;4;4.5;22.7;32.2;89098;5038;0.04;11.09;0;51.8;2024-08-15
Джинсы SHOCK ROOM;https://www.ozon.ru/product/494775077;SHOCK ROOM;Одежда;Джинсы;Да;693652;9;291;1769.3;2384;0;100;24085;10;FBO;3;0.6;21.8;31.3;15058;2941;0.05;22.78;0;43.7;2022-02-12
Куртка artModa;https://www.ozon.ru/product/1656082169;artModa;Одежда;Куртка;Да;693493;186;144;3369;4816;0;100;24670;5;FBO;3;7.4;22;31;164672;8413;0;5.53;8.7;49.6;2024-08-12
Куртка Zarina;https://www.ozon.ru/product/1671124880;Zarina;Одежда;Куртка;Да;693182;395;116;4963;5976;25750;96;25750;4;FBO;4;18.2;22.7;31.6;80513;10887;0.03;4.84;0;42.4;2024-08-26
Свитер MATE studio Оверсайз;https://www.ozon.ru/product/1305486090;MATE studio;Одежда;Свитер;Да;693136;35;291;1676.3;2382;0;100;23561;10;FBO;5;4.5;23.1;32.7;76612;19090;0.02;5.99;20.8;53.2;2023-11-23
Куртка Columbia;https://www.ozon.ru/product/1415442427;Columbia;Одежда;Куртка;Да;693075;44;130;4393;5331;0;100;24173;5;FBO,FBS;4;11.6;22.3;31.2;87693;6564;0.02;5.48;0;56.3;2024-02-04
Брюки LAINA;https://www.ozon.ru/product/272844258;LAINA;Одежда;Брюки;Да;693063;3;543;876;1276;0;100;23927;19;FBO;4;3;25;36;232206;33494;0.01;5.08;24.6;60.4;2021-06-09
Куртка Осенняя коллекция;https://www.ozon.ru/product/1397183725;без бренда;Одежда;Куртка;Да;692721;121;149;3398;4649;0;100;24637;5;FBO;3;33.4;26.5;36.4;70927;9287;0;4.57;0.9;42.1;2024-01-21
Костюм спортивный;https://www.ozon.ru/product/1454723151;без бренда;Одежда;Костюм спортивный;Да;692694;-47;220;2842.8;3149;0;100;23024;7;FBO,FBS;6;16.3;25.4;35.3;196731;41118;0.03;2.76;30.6;58.4;2024-03-06
Пуховик LAWINTER;https://www.ozon.ru/product/1126363630;LAWINTER;Одежда;Пуховик;Да;692634;161;64;9097.8;10822;189437;79;31573;3;FBO,FBS;7;21.5;20.1;28.7;33020;3097;0.02;8.39;0.5;48.3;2023-08-09
Платье GILA;https://www.ozon.ru/product/780108534;GILA;Одежда;Платье;Да;692632;44;222;2366.3;3120;0;100;23818;8;FBO;4;3.8;22;31.3;168732;8895;0.01;9.64;4.6;48.6;2022-11-07
Плащ SLN;https://www.ozon.ru/product/542536152;SLN;Одежда;Плащ;Да;692191;-55;179;431.3;3867;0;100;23447;6;FBO;3;10.2;23.1;32.4;100120;7735;0.02;7.04;0;31.1;2022-04-02
Платье BABU;https://www.ozon.ru/product/1431809586;BABU;Одежда;Платье;Да;691967;-5;293;2108;2362;0;100;23858;10;FBO;3;2.2;22.7;32.3;203062;14772;0.03;6.35;3.3;43;2024-02-22
Куртка Miloslavskaya Оверсайз;https://www.ozon.ru/product/1696781289;Miloslavskaya;Одежда;Куртка;Да;691815;Нет данных;113;4632.8;6122;520946;57;43412;7;FBO;3;14.3;22.4;31.4;29773;5787;0.01;7.32;0.1;59.6;2024-09-18
Блузка TTtextile;https://www.ozon.ru/product/1662734990;TTtextile;Одежда;Блузка;Да;691613;57;507;860.3;1364;0;100;24270;18;FBO;4;0.9;23.5;34;315564;19040;0.01;8.35;15.3;66.3;2024-08-19
Куртка STEFRIMI;https://www.ozon.ru/product/1643272555;STEFRIMI;Одежда;Куртка;Да;691117;209;108;5178.8;6399;83199;89;27733;4;FBO;4;7;21.3;30;66012;7479;0.02;4.73;1.5;52.9;2024-07-30
Куртка Modis;https://www.ozon.ru/product/1237439833;Modis;Одежда;Куртка;Да;690867;218;250;2385;2763;207894;75;29699;11;FBO;4;35.5;33.4;45.1;122616;7228;0.01;10.05;0;43.8;2023-10-12
Пуховик MONOMIR Зима;https://www.ozon.ru/product/1659346646;MONOMIR;Одежда;Пуховик;Да;690853;1980;69;8867;10012;0;100;24673;2;FBO;4;28;21.1;29.9;87379;9048;0.03;6.87;0.2;59.4;2024-08-15
Комплект на выписку КиндерКлаб новорожденные;https://www.ozon.ru/product/1680098122;КиндерКлаб;Одежда;Комплект на выписку;Да;690794;248;100;5340;6908;81356;89;27119;4;FBO;6;28.8;23.8;33;53506;7593;0.11;9.56;2.2;79.7;2024-09-03
Джинсы LWW JEANS Палаццо;https://www.ozon.ru/product/1480552113;LWW JEANS;Одежда;Джинсы;Да;690642;6;402;1305.8;1718;0;100;24112;14;FBO;3;2.4;23.7;33.9;73762;9828;0.02;10.54;2.4;33.7;2024-03-18
Куртка 7TOUCH Большие размеры;https://www.ozon.ru/product/1586952261;7TOUCH;Одежда;Куртка;Да;690614;-19;175;3069;3946;375488;64;37549;10;FBO;5;26;25.9;35.8;124588;10633;0.01;5.84;0;40;2024-05-28
Пуховик ōnne;https://www.ozon.ru/product/1683335778;ōnne;Одежда;Пуховик;Да;690122;Нет данных;52;98;13272;383401;64;38340;3;FBO;6;16.4;18.6;27.1;83232;2725;0.01;9.79;2.9;55.7;2024-09-05
Пуховик LIBERTA;https://www.ozon.ru/product/1667787791;LIBERTA;Одежда;Пуховик;Да;690109;253;118;4133.8;5848;0;100;24105;4;FBO;3;41.4;26.3;36.1;53138;4816;0.02;9.5;0.2;52.1;2024-08-23
Водолазка Only Friends;https://www.ozon.ru/product/1640478963;Only Friends;Одежда;Водолазка;Да;690074;11;767;532;900;0;100;23865;26;FBO;4;2.8;26.9;39;116721;10719;0.1;15.58;0.4;60.6;2024-07-27
Костюм спортивный TM LIMITED;https://www.ozon.ru/product/1590067683;TM LIMITED;Одежда;Костюм спортивный;Да;689902;177;221;2300;3122;0;100;24359;8;FBO;3;8.4;23.4;32.9;95388;11962;0.02;5.97;4.4;29.8;2024-05-30
Пуховик LIBERTA;https://www.ozon.ru/product/1650052696;LIBERTA;Одежда;Пуховик;Да;689859;246;118;4609;5846;25396;96;25396;4;FBO;3;36.8;25.7;35.3;58115;4649;0.01;9.18;0.4;45.6;2024-08-06
Куртка Spirina;https://www.ozon.ru/product/1416855938;без бренда;Одежда;Куртка;Да;689767;83;165;3429;4180;0;100;23799;6;FBO;4;22.3;25.5;35.2;52508;4618;0.06;10.09;0;45.8;2024-02-06
Легинсы Весь мир моды;https://www.ozon.ru/product/1659537127;без бренда;Одежда;Легинсы;Нет;689331;425;821;555.8;840;0;100;24032;29;FBO;4;1.1;27.2;39.7;397047;41081;0.02;6.35;62;80;2024-08-15
Свитер DAYCODE;https://www.ozon.ru/product/715313116;DAYCODE;Одежда;Свитер;Да;689218;117;315;1671.8;2188;0;100;24393;11;FBO;4;3;22.6;32.2;214383;19455;0.03;6.26;7.5;51.3;2022-09-16
Платье MAKEDU Вечерняя коллекция;https://www.ozon.ru/product/1461132986;MAKEDU;Одежда;Платье;Нет;689175;288;456;1360;1511;0;100;24365;16;FBO;1;2.6;24.4;35;6253;177;0.03;5.64;0;0.2;2024-03-09
Куртка MUNIRA;https://www.ozon.ru/product/1529364876;MUNIRA;Одежда;Куртка;Да;689121;14;105;5314;6563;50966;93;25483;4;FBO;4;24;23.3;32.4;111718;16112;0.01;3.6;14.3;36.6;2024-04-05
Куртка HEYMclo Осенняя коллекция;https://www.ozon.ru/product/1671260842;HEYMclo;Одежда;Куртка;Да;688663;210;104;5833.7;6622;169890;79;28315;4;FBO;7;16.2;22.4;31.3;35327;5588;0.01;7.35;1.6;33.6;2024-08-26
Шуба искусственная LAWINTER;https://www.ozon.ru/product/1171640085;LAWINTER;Одежда;Шуба искусственная;Да;688247;524;44;12166.5;15642;0;100;23503;2;FBO,FBS;7;17.1;17.7;26;11355;1237;0;10.42;0.2;43.1;2023-09-04
Костюм классический Dom-Dom Shop;https://www.ozon.ru/product/1613004281;Dom-Dom Shop;Одежда;Костюм классический;Да;688052;138;258;2076.8;2667;0;100;23835;9;FBO;4;3.8;22.5;32;168244;10837;0.02;7.27;0;42.4;2024-06-24
Куртка;https://www.ozon.ru/product/1358389075;без бренда;Одежда;Куртка;Да;688021;135;121;4378;5686;82176;89;27392;5;FBO,FBS;5;15.4;22.8;31.8;63986;3363;0.01;10.88;0;41.8;2023-12-25
Куртка Jan Steen;https://www.ozon.ru/product/1627174514;Jan Steen;Одежда;Куртка;Да;687895;73;86;6022.5;7999;81625;89;27208;3;FBO;4;31.9;22.9;32;51776;5950;0.01;6.78;0;43.2;2024-07-12
Куртка one2mi Зимняя;https://www.ozon.ru/product/1387527441;one2mi;Одежда;Куртка;Да;687744;96;130;3884.8;5290;0;100;24581;5;FBO;4;24.5;24.3;33.7;161731;7438;0.05;7.48;0.3;53.6;2024-01-15
Юбка ZEYUKO;https://www.ozon.ru/product/1292228060;ZEYUKO;Одежда;Юбка;Да;687483;75;262;1886;2624;109799;86;27450;10;FBO,FBS;4;8.2;24;33.8;56353;7274;0.01;12.59;0.1;59.6;2023-11-15
Пуховик DEAMILETTI Зима;https://www.ozon.ru/product/1615320548;DEAMILETTI;Одежда;Пуховик;Да;687427;Нет данных;51;99;13479;275078;71;34385;3;FBO,FBS;4;56.6;20.7;29.6;50903;5335;0.01;5.92;0.5;42;2024-06-27
Костюм спортивный Moda love;https://www.ozon.ru/product/1148053362;Moda love;Одежда;Костюм спортивный;Да;687402;106;207;1;3321;49664;93;24832;7;FBO;4;21.6;26.4;36.4;69466;10205;0;7.36;0;54.1;2023-08-22
Пальто TheCove;https://www.ozon.ru/product/1656234240;TheCove;Одежда;Пальто;Да;686910;16;123;4904.8;5585;23948;96;23948;4;FBO;4;7.8;21.6;30.3;77704;2491;0;10.87;0.1;28.4;2024-08-12
Куртка Осень;https://www.ozon.ru/product/1594451666;без бренда;Одежда;Куртка;Да;686908;73;114;5052;6026;0;100;24556;4;FBO;5;20;23.1;32.2;110491;8471;0.02;5.43;7.1;45.3;2024-06-03
